Date,Plant,Smp,Trmt,Tap_Lat,Diam,Tube_Mass,Tube_Smp,Smp_Mass,Plate,Raw_Abs,Abs_Blk,Abs_Mass,,,,,
3/20/2018,69,137,15,Tap,0.6,1726.612,1726.888,0.276,F7,0.036,0.013,0.047,,,,,
3/20/2018,61,121,15,Tap,1.0,1741.701,1743.103,1.402,H9,0.096,0.073,0.052,,,,,
3/20/2018,52,104,15,Lat,0.5,1741.639,1742.242,0.603,B1,0.072,0.049,0.081,,,,,
3/20/2018,57,114,15,Lat,0.3,1735.702,1736.145,0.443,H3,0.059,0.036,0.081,,,,,
3/20/2018,66,132,20,Lat,0.4,1726.858,1728.480,1.622,E8,0.041,0.018,0.011,,,,,
3/20/2018,78,156,20,Lat,0.4,1733.987,1735.194,1.207,C10,0.039,0.016,0.013,,,,,
3/20/2018,63,125,20,Tap,0.7,1737.152,1738.438,1.286,D8,0.042,0.019,0.015,,,,,
3/20/2018,62,124,20,Lat,0.5,1733.076,1734.472,1.396,A1,0.048,0.025,0.018,,,,,
3/20/2018,63,126,20,Lat,0.4,1732.269,1733.329,1.060,B12,0.042,0.019,0.018,,,,,
3/20/2018,66,131,20,Tap,0.9,1777.710,1778.878,1.168,A5,0.044,0.021,0.018,,,,,
3/20/2018,71,142,20,Lat,0.2,1733.712,1734.306,0.594,F9,0.034,0.011,0.019,,,,,
3/20/2018,71,141,20,Tap,1.0,1726.134,1727.310,1.176,D7,0.045,0.022,0.019,,,,,
3/20/2018,78,155,20,Tap,0.9,1726.780,1728.553,1.773,B5,0.058,0.035,0.020,,,,,
3/20/2018,58,116,20,Lat,0.2,1747.291,1748.451,1.160,G7,0.049,0.026,0.022,,,,,
3/20/2018,70,139,20,Tap,0.6,1731.373,1732.107,0.734,E7,0.041,0.018,0.025,,,,,
3/20/2018,55,110,20,Lat,0.4,1740.956,1742.656,1.700,C3,0.068,0.045,0.026,,,,,
3/20/2018,55,109,20,Tap,1.1,1719.601,1721.558,1.957,C9,0.085,0.062,0.032,,,,,
3/20/2018,58,115,20,Tap,1.0,1743.342,1745.343,2.001,B11,0.090,0.067,0.033,,,,,
3/20/2018,70,140,20,Lat,0.3,1726.034,1726.539,0.505,B6,0.041,0.018,0.036,,,,,
3/20/2018,62,123,20,Tap,1.0,1737.697,1739.117,1.420,C4,0.080,0.057,0.040,,,,,
3/20/2018,51,102,20,Lat,0.4,1726.034,1727.692,1.658,B10,0.092,0.069,0.042,,,,,
3/20/2018,56,112,20,Lat,0.4,1731.356,1731.978,0.622,C7,0.050,0.027,0.043,,,,,
3/20/2018,51,101,20,Tap,0.7,1732.960,1734.936,1.976,E3,0.128,0.105,0.053,,,,,
3/20/2018,56,111,20,Tap,1.0,1739.149,1740.119,0.970,D12,0.121,0.098,0.101,,,,,
3/20/2018,60,119,30,Tap,0.8,1730.123,1731.484,1.361,D5,0.037,0.014,0.010,,,,,
3/20/2018,72,144,30,Lat,0.3,1734.660,1736.114,1.454,G10,0.038,0.015,0.010,,,,,
3/20/2018,76,151,30,Tap,0.8,1723.739,1725.184,1.445,E1,0.038,0.015,0.010,,,,,
3/20/2018,77,154,30,Lat,0.5,1735.007,1736.472,1.465,E10,0.039,0.016,0.011,,,,,
3/20/2018,65,130,30,Lat,0.3,1728.352,1730.130,1.778,A9,0.044,0.021,0.012,,,,,
3/20/2018,76,152,30,Lat,0.5,1728.669,1730.142,1.473,H7,0.042,0.019,0.013,,,,,
3/20/2018,79,157,30,Tap,0.9,1736.668,1738.150,1.482,B8,0.047,0.024,0.016,,,,,
3/20/2018,80,160,30,Lat,0.4,1740.869,1741.820,0.951,F12,0.039,0.016,0.017,,,,,
3/20/2018,73,146,30,Lat,0.3,1729.483,1731.328,1.845,H1,0.058,0.035,0.019,,,,,
3/20/2018,77,153,30,Tap,1.2,1734.224,1736.316,2.092,G4,0.063,0.040,0.019,,,,,
3/20/2018,59,118,30,Lat,0.2,1723.041,1723.887,0.846,E6,0.040,0.017,0.020,,,,,
3/20/2018,73,145,30,Tap,0.8,1721.138,1722.768,1.630,B9,0.060,0.037,0.023,,,,,
3/20/2018,79,158,30,Lat,0.6,1731.939,1733.106,1.167,H12,0.050,0.027,0.023,,,,,
3/20/2018,65,129,30,Tap,1.0,1776.872,1779.430,2.558,B7,0.093,0.070,0.027,,,,,
3/20/2018,72,143,30,Tap,1.2,1737.738,1740.048,2.310,H8,0.109,0.086,0.037,,,,,
3/20/2018,59,117,30,Tap,1.2,1767.928,1769.896,1.968,G9,0.112,0.089,0.045,,,,,
3/20/2018,60,120,30,Lat,0.2,1723.263,1724.593,1.330,H5,0.103,0.080,0.060,,,,,
3/20/2018,53,106,30,Lat,0.4,1726.544,1727.983,1.439,A2,0.125,0.102,0.071,,,,,
3/20/2018,53,105,30,Tap,0.9,1775.944,1777.527,1.583,F3,0.139,0.116,0.073,,,,,
3/20/2018,80,159,30,Tap,1.0,1737.143,1738.569,1.426,G5,0.157,0.134,0.094,,,,,
3/27/2018,98,195,45,Tap,1.3,1732.975,1734.105,1.130,G11,0.033,0.008,0.007,,,,,
3/27/2018,96,192,45,Lat,0.5,1742.014,1743.050,1.036,C8,0.036,0.011,0.011,,,,,
3/27/2018,102,203,45,Tap,2,1779.045,1780.018,0.973,E9,0.045,0.020,0.021,,,,,
3/27/2018,110,220,45,Lat,0.7,1724.098,1724.532,0.434,G8,0.036,0.011,0.025,,,,,
3/27/2018,106,211,45,Tap,1.3,1717.065,1717.709,0.644,B3,0.042,0.017,0.026,,,,,
3/27/2018,96,191,45,Tap,1.6,1728.359,1729.166,0.807,B9,0.047,0.022,0.027,,,,,
3/27/2018,102,204,45,Lat,0.9,1735.926,1736.363,0.437,H1,0.040,0.015,0.034,,,,,
3/27/2018,95,189,45,Tap,1.4,1732.437,1733.112,0.675,D5,0.050,0.025,0.037,,,,,
3/27/2018,106,212,45,Lat,0.4,1732.215,1732.520,0.305,D7,0.038,0.013,0.043,,,,,
3/27/2018,95,190,45,Lat,0.5,1727.126,1727.539,0.413,G4,0.043,0.018,0.044,,,,,
3/27/2018,98,196,45,Lat,0.8,1717.030,1717.503,0.473,C1,0.046,0.021,0.044,,,,,
3/27/2018,118,235,45,Tap,1.4,1736.453,1736.780,0.327,B11,0.043,0.018,0.055,,,,,
3/27/2018,111,221,45,Tap,1.5,1733.952,1734.232,0.280,D3,0.042,0.017,0.061,,,,,
3/27/2018,81,161,45,Tap,1.1,1738.876,1739.947,1.071,C10,0.091,0.066,0.062,,,,,
3/27/2018,110,219,45,Tap,1.5,1716.651,1716.901,0.250,E7,0.045,0.020,0.080,,,,,
3/27/2018,111,222,45,Lat,0.3,1722.618,1722.799,0.181,D9,0.038,0.013,0.072,,,,,
3/27/2018,118,236,45,Lat,0.3,1727.488,1727.638,0.150,D12,0.039,0.014,0.093,,,,,
3/27/2018,103,205,45,Tap,1.2,1728.874,1729.383,0.509,C6,0.073,0.048,0.094,,,,,
3/27/2018,81,162,45,Lat,0.8,1761.594,1762.298,0.704,A4,0.085,0.060,0.085,,,,,
3/27/2018,103,206,45,Lat,0.5,1727.616,1727.801,0.185,E10,0.040,0.015,0.081,,,,,
3/27/2018,104,208,60,Lat,0.3,1724.733,1725.700,0.967,A5,0.047,0.022,0.023,,,,,
3/27/2018,101,201,60,Tap,1.4,1733.211,1733.898,0.687,A12,0.041,0.016,0.023,,,,,
3/27/2018,114,227,60,Tap,1.4,1718.830,1719.674,0.844,C2,0.046,0.021,0.025,,,,,
3/27/2018,107,214,60,Lat,0.4,1730.311,1731.327,1.016,D2,0.052,0.027,0.027,,,,,
3/27/2018,94,187,60,Tap,1.3,1730.574,1731.115,0.541,F9,0.043,0.018,0.033,,,,,
3/27/2018,115,230,60,Lat,0.4,1780.394,1780.637,0.243,F5,0.034,0.009,0.037,,,,,
3/27/2018,114,228,60,Lat,0.6,1758.240,1758.820,0.580,A7,0.048,0.023,0.040,,,,,
3/27/2018,109,218,60,Lat,0.6,1732.354,1732.619,0.265,E11,0.036,0.011,0.042,,,,,
3/27/2018,101,202,60,Lat,0.7,1729.059,1729.482,0.423,D10,0.046,0.021,0.050,,,,,
3/27/2018,115,229,60,Tap,1.2,1725.056,1725.336,0.280,B1,0.039,0.014,0.050,,,,,
3/27/2018,97,193,60,Tap,1.4,1728.104,1728.975,0.871,G3,0.069,0.044,0.051,,,,,
3/27/2018,107,213,60,Tap,1.1,1727.620,1727.769,0.149,D8,0.034,0.009,0.060,,,,,
3/27/2018,108,215,60,Tap,1.1,1735.057,1735.796,0.739,A9,0.076,0.051,0.069,,,,,
3/27/2018,109,217,60,Tap,1.7,1725.193,1726.094,0.901,A1,0.092,0.067,0.074,,,,,
3/27/2018,94,188,60,Lat,0.6,1717.955,1718.187,0.232,E12,0.049,0.024,0.103,,,,,
3/27/2018,82,163,60,Tap,1.5,1728.853,1730.186,1.333,G1,0.199,0.174,0.131,,,,,
3/27/2018,97,194,60,Lat,0.4,1745.017,1745.243,0.226,A8,0.043,0.018,0.080,,,,,
3/27/2018,108,216,60,Lat,0.6,1721.858,1722.129,0.271,H10,0.058,0.033,0.122,,,,,
3/27/2018,82,164,60,Lat,0.7,1780.706,1781.518,0.812,A2,0.179,0.154,0.190,,,,,
3/27/2018,104,207,60,Tap,1.2,1709.435,1709.601,0.166,A10,0.050,0.025,0.151,,,,,
3/27/2018,113,225,120,Tap,1.3,1724.757,1725.935,1.178,C5,0.044,0.019,0.016,,,,,
3/27/2018,120,240,120,Lat,0.5,1719.822,1720.950,1.128,G7,0.045,0.020,0.018,,,,,
3/27/2018,120,239,120,Tap,1.1,1732.650,1734.468,1.818,H9,0.063,0.038,0.021,,,,,
3/27/2018,119,237,120,Tap,1.5,1725.132,1726.585,1.453,B7,0.057,0.032,0.022,,,,,
3/27/2018,116,231,120,Tap,1.3,1739.951,1740.609,0.658,E3,0.042,0.017,0.026,,,,,
3/27/2018,99,198,120,Lat,0.5,1790.208,1790.904,0.696,C9,0.043,0.018,0.026,,,,,
3/27/2018,99,197,120,Tap,1.5,1737.583,1739.042,1.459,E6,0.065,0.040,0.027,,,,,
3/27/2018,119,238,120,Lat,0.5,1736.051,1737.263,1.212,F7,0.059,0.034,0.028,,,,,
3/27/2018,93,186,120,Lat,0.7,1729.628,1730.132,0.504,G2,0.047,0.022,0.044,,,,,
3/27/2018,100,200,120,Lat,0.3,1740.011,1740.310,0.299,C11,0.039,0.014,0.047,,,,,
3/27/2018,105,209,120,Tap,1.9,1732.031,1733.252,1.221,E8,0.084,0.059,0.048,,,,,
3/27/2018,105,210,120,Lat,0.6,1732.876,1733.334,0.458,G10,0.049,0.024,0.052,,,,,
3/27/2018,112,224,120,Lat,0.7,1785.956,1786.406,0.450,A11,0.049,0.024,0.053,,,,,
3/27/2018,113,226,120,Lat,0.9,1741.407,1742.045,0.638,C4,0.061,0.036,0.056,,,,,
3/27/2018,112,223,120,Tap,1.4,1735.730,1736.325,0.595,A6,0.062,0.037,0.062,,,,,
3/27/2018,93,185,120,Tap,1.3,1717.204,1718.082,0.878,C3,0.083,0.058,0.066,,,,,
3/27/2018,100,199,120,Tap,1.2,1770.287,1771.022,0.735,G5,0.074,0.049,0.067,,,,,
3/27/2018,117,233,120,Tap,1.5,1728.209,1728.746,0.537,H5,0.061,0.036,0.067,,,,,
3/27/2018,116,232,120,Lat,0.5,1720.494,1720.669,0.175,E2,0.035,0.010,0.057,,,,,
3/27/2018,117,234,120,Lat,1,1746.168,1746.481,0.313,H11,0.047,0.022,0.070,,,,,
3/14/2018,6,11,B,Tap,1.1,1716.615,1725.014,8.399,F11,0.038,0.011,0.001,,,,,
3/14/2018,5,9,B,Tap,1.3,1724.570,1729.749,5.179,F2,0.036,0.012,0.002,,,,,
3/14/2018,9,17,B,Tap,1.3,1727.760,1731.578,3.818,G9,0.038,0.011,0.003,,,,,
3/14/2018,5,10,B,Lat,0.7,1729.545,1737.747,8.202,E8,0.050,0.025,0.003,,,,,
3/14/2018,7,14,B,Lat,0.5,1727.986,1731.186,3.200,C5,0.041,0.015,0.005,,,,,
3/14/2018,4,7,B,Tap,1.9,1780.014,1783.114,3.100,G10,0.040,0.015,0.005,,,,,
3/14/2018,7,13,B,Tap,1.3,1734.223,1738.600,4.377,B4,0.048,0.023,0.005,,,,,
3/14/2018,8,15,B,Tap,1.6,1771.952,1775.170,3.218,G7,0.042,0.018,0.006,,,,,
3/27/2018,92,184,B,Lat,0.3,1733.441,1734.511,1.070,F4,0.032,0.007,0.007,,,,,
3/20/2018,42,84,B,Lat,0.5,1730.362,1733.552,3.190,D1,0.044,0.021,0.007,,,,,
3/20/2018,45,89,B,Tap,1.1,1748.938,1750.600,1.662,F5,0.034,0.011,0.007,,,,,
3/20/2018,44,88,B,Lat,0.5,1734.270,1736.286,2.016,F6,0.038,0.015,0.007,,,,,
3/14/2018,3,5,B,Tap,1.2,1732.036,1733.734,1.698,E9,0.039,0.013,0.008,,,,,
3/14/2018,4,8,B,Lat,0.7,1731.352,1733.128,1.776,G8,0.038,0.014,0.008,,,,,
3/27/2018,92,183,B,Tap,0.8,1773.913,1776.658,2.745,F3,0.048,0.023,0.008,,,,,
3/14/2018,10,19,B,Tap,1.3,1731.293,1733.173,1.880,F10,0.040,0.017,0.009,,,,,
3/20/2018,44,87,B,Tap,1.6,1742.082,1743.847,1.765,C8,0.039,0.016,0.009,,,,,
3/20/2018,43,86,B,Lat,0.4,1769.893,1773.011,3.118,D9,0.054,0.031,0.010,,,,,
3/20/2018,41,81,B,Tap,0.8,1730.890,1731.863,0.973,B3,0.033,0.010,0.010,,,,,
3/20/2018,41,82,B,Lat,0.3,1726.063,1727.283,1.220,E11,0.036,0.013,0.011,,,,,
3/14/2018,2,3,B,Tap,1.4,1777.749,1779.781,2.032,D12,0.047,0.022,0.011,,,,,
3/20/2018,42,83,B,Tap,1.3,1738.177,1740.174,1.997,A12,0.045,0.022,0.011,,,,,
3/14/2018,6,12,B,Lat,0.4,1766.920,1769.255,2.335,B2,0.052,0.026,0.011,,,,,
3/27/2018,84,167,B,Tap,0.9,1761.180,1762.611,1.431,E4,0.041,0.016,0.011,,,,,
3/27/2018,83,165,B,Tap,0.9,1727.409,1729.063,1.654,B6,0.046,0.021,0.013,,,,,
3/14/2018,1,1,B,Tap,0.8,1786.948,1788.654,1.706,C8,0.048,0.023,0.013,,,,,
3/14/2018,3,6,B,Lat,0.6,1725.518,1727.185,1.667,D6,0.048,0.024,0.014,,,,,
3/20/2018,43,85,B,Tap,1.5,1727.753,1729.371,1.618,H2,0.049,0.026,0.016,,,,,
3/14/2018,9,18,B,Lat,0.4,1734.686,1736.657,1.971,H10,0.057,0.032,0.016,,,,,
3/14/2018,1,2,B,Lat,0.4,1731.036,1732.733,1.697,C12,0.054,0.029,0.017,,,,,
3/27/2018,85,169,B,Tap,0.9,1697.341,1698.685,1.344,H2,0.049,0.024,0.018,,,,,
3/27/2018,85,170,B,Lat,0.3,1769.228,1770.291,1.063,H8,0.045,0.020,0.019,,,,,
3/27/2018,91,181,B,Tap,0.7,1723.247,1724.061,0.814,C12,0.041,0.016,0.020,,,,,
3/27/2018,83,166,B,Lat,0.2,1773.332,1774.036,0.704,B2,0.040,0.015,0.021,,,,,
3/20/2018,45,90,B,Lat,0.6,1736.782,1736.643,-0.139,G1,0.020,-0.003,0.022,,,,,
3/14/2018,8,16,B,Lat,0.3,1730.624,1731.780,1.156,E5,0.054,0.028,0.024,,,,,
3/14/2018,10,20,B,Lat,0.6,1724.069,1724.885,0.816,H1,0.044,0.020,0.025,,,,,
